                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2259,                  1.615,                 1.2739,                0.64469,                0.53215,                0.61422,                0.45599,                 1.0822,                 1.1201,                 1.1249,               8.33e-06,               8.33e-06,               8.33e-06
                      1,                 1.2223,                 1.5106,                 1.2661,                 0.6824,                0.54594,                0.63253,                0.46977,                  1.079,                 1.0963,                 1.1237,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      2,                 1.2002,                 1.4193,                 1.2166,                0.69126,                0.55188,                 0.6439,                 0.4804,                 1.0766,                 1.0721,                 1.1231,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      3,                 1.2358,                 1.4712,                 1.2512,                0.68836,                0.57633,                0.65504,                0.49108,                 1.0667,                 1.0504,                  1.114,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      4,                 1.1489,                 1.2772,                 1.2151,                0.70216,                0.60127,                0.67652,                0.50489,                 1.0526,                 1.0282,                 1.1045,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      5,                 1.1101,                 1.3115,                  1.192,                0.71113,                0.63152,                0.68984,                   0.51,                 1.0392,                0.99862,                 1.0935,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      6,                 1.1073,                 1.1668,                 1.1877,                0.71834,                0.64511,                0.69529,                0.51717,                 1.0348,                0.97667,                 1.0919,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      7,                  1.123,                 1.1772,                 1.1964,                0.72677,                0.65523,                0.70421,                0.52777,                 1.0317,                0.94447,                 1.0926,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      8,                 1.0522,                 1.1017,                 1.1469,                0.74105,                0.64135,                0.71531,                0.53725,                 1.0166,                0.91854,                 1.0832,             7.7798e-05,             7.7798e-05,             7.7798e-05
                      9,                 1.0785,                 1.1537,                 1.1884,                0.75254,                0.64343,                0.71952,                0.54206,                  1.015,                0.90442,                 1.0819,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     10,                 1.0493,                 1.0765,                 1.1473,                0.72351,                0.68001,                0.72882,                0.55369,                 1.0184,                0.88987,                  1.083,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     11,                 1.0964,                 1.1214,                  1.191,                0.75328,                0.67962,                0.73862,                0.56351,                 1.0137,                0.87068,                 1.0766,             0.00010074,             0.00010074,             0.00010074
                     12,                 1.0564,                  1.064,                 1.1533,                0.79449,                0.67094,                  0.746,                 0.5718,                0.99892,                0.84909,                 1.0673,             0.00010486,             0.00010486,             0.00010486
                     13,                 1.0307,                 1.0578,                 1.1648,                0.79807,                0.67688,                 0.7594,                0.58337,                0.99003,                0.83142,                 1.0629,             0.00010486,             0.00010486,             0.00010486
                     14,                0.99034,                0.99874,                  1.136,                0.81292,                0.67348,                0.76667,                0.58571,                0.98459,                0.82038,                 1.0603,             0.00010368,             0.00010368,             0.00010368
                     15,                 1.0231,                 1.0019,                  1.133,                0.81701,                0.66816,                0.77085,                0.59061,                0.97532,                 0.8069,                 1.0545,             0.00010251,             0.00010251,             0.00010251
                     16,                 1.0521,                 1.0453,                 1.1466,                0.78905,                0.69266,                0.78168,                0.60102,                0.96311,                0.78992,                 1.0483,             0.00010133,             0.00010133,             0.00010133
                     17,                 1.0717,                0.99229,                 1.1301,                0.75689,                0.72278,                0.78531,                 0.6094,                 0.9567,                0.78193,                 1.0428,             0.00010015,             0.00010015,             0.00010015
                     18,                0.97386,                0.94141,                 1.1196,                0.79202,                0.72818,                0.79512,                 0.6227,                0.94664,                 0.7704,                 1.0361,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                 1.0129,                0.98652,                 1.1396,                0.84472,                0.70539,                0.79677,                0.63045,                0.92922,                0.75775,                 1.0285,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                 1.0259,                0.92585,                 1.1259,                0.82774,                0.71796,                0.80575,                0.63701,                0.91869,                0.74046,                 1.0247,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                   1.01,                0.90322,                 1.1082,                0.83831,                0.71899,                0.80573,                0.63435,                0.91282,                0.72624,                 1.0207,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                0.99105,                0.92811,                  1.139,                0.82927,                 0.7272,                0.81033,                0.63807,                 0.9073,                0.71681,                 1.0185,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                0.98574,                0.94296,                 1.1127,                0.81289,                0.74173,                0.81892,                 0.6404,                0.89962,                0.71216,                 1.0149,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                0.97353,                0.87722,                 1.1115,                0.76195,                0.77533,                0.82526,                0.64367,                0.89335,                0.70679,                 1.0108,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                 1.0076,                0.92511,                 1.1105,                0.81397,                0.74449,                0.82393,                0.64273,                0.89044,                 0.7049,                 1.0057,             9.0726e-05,             9.0726e-05,             9.0726e-05
